citylat,citylon,focal,idiss,linkData,link_big,link_small,n_answers
5,67.6,50,26404,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS037&roll=E&frame=26404,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS037/ISS037-E-26404.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS037/ISS037-E-26404.JPG,30
47,-5.9,50,83217,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83217,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83217.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83217.JPG,30
33.8,-115,50,83475,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83475,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83475.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83475.JPG,30
50.9,3.4,50,82885,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=82885,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-82885.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-82885.JPG,30
50.2,6.8,50,82977,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=82977,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-82977.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-82977.JPG,30
39.6,9.9,50,16421,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS038&roll=E&frame=16421,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS038/ISS038-E-16421.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS038/ISS038-E-16421.JPG,30
51.6,110.1,50,83045,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83045,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83045.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83045.JPG,30
25.2,-101.4,50,83081,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83081,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83081.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83081.JPG,30
39,22.1,50,51020,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=51020,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-51020.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-51020.JPG,30
45.2,-10.1,50,9416,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=9416,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-9416.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-9416.JPG,30
31.3,-110.5,50,83315,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83315,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83315.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83315.JPG,30
38,-2.2,50,86589,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=86589,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-86589.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-86589.JPG,
40.5,0.3,50,58829,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=58829,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-58829.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-58829.JPG,30
29.9,15,50,16854,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=16854,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-16854.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-16854.JPG,30
39.9,-81.6,50,77371,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=77371,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-77371.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-77371.JPG,30
-42.5,131.8,50,17862,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS038&roll=E&frame=17862,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS038/ISS038-E-17862.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS038/ISS038-E-17862.JPG,30
33,128.4,50,31116,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS023&roll=E&frame=31116,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS023/ISS023-E-31116.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS023/ISS023-E-31116.JPG,30
46.2,35.5,50,26294,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS022&roll=E&frame=26294,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS022/ISS022-E-26294.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS022/ISS022-E-26294.JPG,30
